level_0,index,rank,title,studio,total_gross,gross,theaters,release_date,year,genres
169,198,199,The Nest,IFC Films,"$137,886","$137,350",301,Sep 18,2020,Drama            
170,199,200,Beneath Us,Vital Pictures,"$137,260","$137,260",162,Mar 6,2020,"Horror, Thriller            "
171,200,201,Lupin III: The First,GKIDS,"$136,368","$136,368",418,Oct 16,2020,"Animation, Action, Adventure            "
172,201,202,The Times of Bill Cunningham,Greenwich Entertainment,"$134,288","$134,288",19,Feb 14,2020,Documentary            
173,203,204,No Safe Spaces,Atlas Distribution Company,"$1,291,514","$132,155",200,Oct 25,2020,Documentary            
174,204,205,Alita: Battle Angel,Twentieth Century Fox,"$85,838,210","$128,000","3,802",Feb 14,2020,"Action, Adventure, Sci-Fi            "
175,205,206,"14 Days, 12 Nights",Entertainment One,"$122,530","$122,530",19,Mar 6,2020,Drama            
176,206,207,Invisible Life,Amazon Studios,"$146,535","$122,316",18,Dec 20,2020,Drama            
177,207,208,Ammonite,Neon,"$160,930","$118,185",280,Nov 13,2020,"Biography, Drama, Romance            "
178,208,209,The Man Standing Next,Capelight Pictures,"$113,527","$112,915",22,Jan 24,2020,"Drama, History, Thriller            "
179,209,210,The Dark and the Wicked,RLJE Films,"$110,618","$110,618",68,Nov 6,2020,Horror            
180,210,211,Corpus Christi,Film Movement,"$127,240","$110,430",23,Feb 14,2020,Drama            
181,211,212,Hope Gap,Roadside Attractions,"$104,732","$104,732",132,Mar 6,2020,"Drama, Romance            "
182,212,213,Citizen K,Greenwich Entertainment,"$120,411","$102,707",15,Nov 22,2020,Documentary            
183,214,215,Made in Italy,IFC Films,"$101,339","$101,399",111,Aug 7,2020,"Comedy, Drama, Romance            "
184,215,216,First Cow,A24,"$101,068","$101,068",25,Mar 6,2020,Drama            
185,216,217,The Silencing,Saban Films,"$100,746","$100,746",79,Aug 14,2020,"Crime, Drama, Thriller            "
186,217,218,The Woman Who Loves Giraffes,Zeitgeist Films,"$113,858","$97,386",22,Oct 4,2020,Documentary            
187,218,219,Come to Daddy,Saban Films,"$96,713","$96,713",29,Feb 7,2020,"Comedy, Horror, Mystery            "
188,219,220,The Wandering Earth,CMC Pictures,"$5,971,413","$95,926",129,Feb 5,2020,"Action, Sci-Fi            "
189,220,221,Wild Mountain Thyme,Bleecker Street Media,"$95,360","$95,360",450,Dec 11,2020,"Drama, Romance            "
190,221,222,The Lighthouse,A24,"$10,867,104","$94,580",978,Oct 18,2020,"Drama, Fantasy, Horror            "
191,222,223,First Lady,ArtAffects Entertainment,"$93,298","$93,298",68,Feb 14,2020,"Comedy, Romance            "
192,223,224,Tesla,IFC Films,"$93,147","$92,996",108,Aug 21,2020,"Biography, Drama            "
193,224,225,Miss Juneteenth,Vertical Entertainment,"$92,349","$92,349",11,Jun 19,2020,Drama            
194,227,228,Honeyland,Neon,"$815,082","$82,132",56,Jul 26,2020,"Documentary, Drama            "
195,228,229,Riverdance 25th Anniversary Show,Trafalgar Releasing,"$81,879","$81,879",278,Mar 15,2020,Musical            
196,229,230,StarDog and TurboCat,Viva Pictures,"$80,490","$80,496",6,Jun 19,2020,"Animation, Comedy, Family            "
197,230,231,Honey Boy,Amazon Studios,"$3,012,615","$72,623",460,Nov 8,2020,Drama            
198,232,233,Pray: The Story of Patrick Peyton,ArtAffects Entertainment,"$71,232","$71,232",51,Oct 9,2020,Documentary            
199,233,234,How to Build a Girl,IFC Films,"$70,632","$70,632",9,May 8,2020,Comedy            
